id,title,genres,release_year,popularity,poster_url,combined_features
274854,The Last Witch Hunter,Fantasy Action Adventure,2015,52.612025,,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family. Fantasy Action Adventure new york witch uprising witch hunter Vin Diesel Rose Leslie Elijah Wood Ólafur Darri Ólafsson Rena Owen Breck Eisner"
8617,Prom Night,Crime Horror,2008,9.642041,,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends. Crime Horror aunt remake blood on shirt slasher death of family masturbation kicked in the face renovation black stereotype chest Brittany Snow Scott Porter Jessica Stroup Dana Davis Kelly Blatz Nelson McCormick"
13551,The Dead Girl,Mystery Drama Crime Thriller,2006,3.069605,,The clues to a young woman's death come together as the lives of seemingly unrelated people begin to intersect. Mystery Drama Crime Thriller prostitute fire newspaper independent film woman director Brittany Murphy Toni Collette Rose Byrne Josh Brolin James Franco Karen Moncrieff
10878,Saving Silverman,Comedy Crime Romance,2001,12.887673,,"A pair of buddies conspire to save their best friend from marrying the wrong woman, a cold-hearted beauty who snatches him from them and breaks up their Neil Diamond cover band. Comedy Crime Romance female nudity harassment male friendship dark comedy director cameo duringcreditsstinger Jason Biggs Steve Zahn Jack Black Amanda Peet Amanda Detmer Dennis Dugan"
39833,Love Me Tender,Drama Action Western Music Romance,1956,1.444258,,Elvis Prestley's first film is a Civil War drama. Drama Action Western Music Romance civil war Richard Egan Debra Paget Elvis Presley Robert Middleton William Campbell Robert D. Webb
9678,Little Nicky,Comedy Fantasy Romance,2000,18.335992,,"After the lord of darkness decides he will not cede his thrown to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell. Comedy Fantasy Romance father son relationship brother sister relationship mephisto bulldogg Adam Sandler Patricia Arquette Harvey Keitel Rhys Ifans Tom Lister Jr. Steven Brill"
48463,Incident at Loch Ness,Adventure Comedy Horror,2004,1.452152,,"The German film director Werner Herzog sets out to the Scottish Highlands to make a documentary, ""Enigma of Loch Ness"", exploding the myth of the Loch Ness Monster. Meanwhile, another documentary film crew is making a film about Werner Herzog, and we see the production of ""Enigma"" from their point of view. Shooting on a rented boat, tensions begin to rise as director Herzog and his producer, Zak Penn, find themselves at cross-purposes on the black surface of Loch Ness. Things get very edgy when the film crew starts seeing shapes in the murky water. Adventure Comedy Horror  Werner Herzog Kitana Baker Gabriel Beistain Russell Williams II David A. Davidson Zak Penn"
10641,Autumn in New York,Drama Romance,2000,8.680334,,"Autumn in New York follows the sexual exploits of Will Keane - New York restaurateur, infamous verging-on-50 playboy, master of the no-commitment seduction - until he runs into an unexpected dead end when he meets Charlotte Fielding. Charlotte is half Will's age and twice his match, a 21 year-old free spirit yearning to get out and taste the excitement of adult life. Drama Romance new love love of one's life unexpected happiness dying and death success kiss love relationship unhappiness woman director fear of dying Richard Gere Winona Ryder Anthony LaPaglia Elaine Stritch Vera Farmiga Joan Chen"
2034,Training Day,Action Crime Drama Thriller,2001,52.081131,,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears. Action Crime Drama Thriller police brutality war on drugs drug traffic drug dealer los angeles gang member mexican american barrio cholo Denzel Washington Ethan Hawke Scott Glenn Tom Berenger Harris Yulin Antoine Fuqua"
10439,Hocus Pocus,Comedy Family Fantasy,1993,18.650748,,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all. Comedy Family Fantasy witch halloween salem trick or treating spellcasting Bette Midler Sarah Jessica Parker Kathy Najimy Omri Katz Thora Birch Kenny Ortega"
112456,Hardflip,Drama Action,2012,0.341461,,"Hardflip follows the story of Caleb (Randy Wayne) a young skater whose ill mother (Rosanna Arquette) and absent father (John Schneider) leave him reaching for the only hope he has...becoming a sponsored skater. After his mother falls ill, Caleb finds a stack of old love letters. He sets out to find the father he never knew and inadvertently begins a journey he never could have expected. This story explores what happens when we let go of our anger and pain and forgive those who have hurt us most. Drama Action skateboarding forgiveness sport family relationships aftercreditsstinger Randy Wayne John Schneider Rosanna Arquette Sean Michael Afable Jason Dundas Johnny Remo"
10537,The Doors,Drama Music,1991,10.794175,,"The story of the famous and influential 1960's rock band and its lead singer and composer, Jim Morrison. Drama Music hippie poetry sex rock and roll nudity hallucination wilderness airplane musical addicted joint organ lsd biography alcoholism the doors car crash singer drug music band flashback blood ritual Val Kilmer Meg Ryan Kyle MacLachlan Frank Whaley Kevin Dillon Oliver Stone"
30867,Scott Walker: 30 Century Man,Documentary Music,2006,0.607782,,A documentary on the influential musician Scott Walker. Documentary Music music Scott Walker Damon Albarn David Bowie Jarvis Cocker Marc Almond Stephen Kijak
17202,Why Did I Get Married?,Comedy Drama,2007,2.005111,,"The film is about the difficulty of maintaining a solid relationship in modern times. Eight married college friends plus one other non-friend (all of whom have achieved middle to upper class economic status) go to Colorado for their annual week-long reunion, but the mood shifts when one couple's infidelity comes to light. Secrets are revealed and each couple begins to question their own marriage Comedy Drama  Tyler Perry Jill Scott Janet Jackson Michael Jai White Malik Yoba Tyler Perry"
595,To Kill a Mockingbird,Crime Drama,1962,22.139842,,"In a small Alabama town in the 1930s, scrupulously honest and highly respected lawyer, Atticus Finch puts his career on the line when he agrees to represent Tom Robinson, a black man accused of rape. The trial and the events surrounding it are seen through the eyes of Finch's six-year-old daughter, Scout. While Robinson's trial gives the movie its momentum, there are plenty of anecdotal occurrences before and after the court date: Scout's ever-strengthening bond with older brother, Jem, her friendship with precocious young Dill Harris, her father's no-nonsense reactions to such life-and-death crises as a rampaging mad dog, and especially Scout's reactions to, and relationship with, Boo Radley, the reclusive 'village idiot' who turns out to be her salvation when she is attacked by a venomous bigot. Crime Drama black people based on novel brother sister relationship becoming an adult isolation arbitrary law socially deprived family tree house wrong accusal farm worker intolerance exclusion court case defence right and justice court child Gregory Peck Brock Peters James Anderson Mary Badham Phillip Alford Robert Mulligan"
84174,Bachelorette,Comedy Romance,2012,20.95282,,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school. Comedy Romance bridesmaid strip club female friendship reunion drug use wedding wedding dress childhood friends woman director bachelorette party bitch fat woman Kirsten Dunst Isla Fisher Lizzy Caplan Rebel Wilson Adam Scott Leslye Headland
82703,Mr. Peabody & Sherman,Animation Adventure Family,2014,38.73494,,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed. Animation Adventure Family father son relationship egypt intelligence adoption time travel boy child prodigy friendship growing up children talking animal talking dog dog first love ancient egypt time traveler duringcreditsstinger new school george washington gags trouble time paradox prodigy Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper Rob Minkoff"
10776,Little Shop of Horrors,Horror Comedy Music,1986,12.113235,,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper. Horror Comedy Music flower solar eclipse florist assistant plants success aggression by plant investigation nerd blonde carnivorous plant remake crush based on play motorcycle eclipse part animated dentist bum killer plant based on stage musical skid row based on film plant food flesh eating plant inept assistant cult classic man eating plant Rick Moranis Ellen Greene Vincent Gardenia Steve Martin Tisha Campbell-Martin Frank Oz"
6073,The Mexican,Action Comedy Crime Romance,2001,21.021809,,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border. Action Comedy Crime Romance kidnapping pistol Brad Pitt Julia Roberts James Gandolfini J.K. Simmons Gene Hackman Gore Verbinski"
26039,Point Blank,Action Crime Drama Thriller,1967,5.164423,,"After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him. Action Crime Drama Thriller alcatraz revenge organized crime Lee Marvin Angie Dickinson Keenan Wynn Carroll O'Connor Lloyd Bochner John Boorman"
18869,Jimmy and Judy,Action Crime Drama Thriller,2006,1.255771,,Two misunderstood suburban kids challenge society and run from the police while documenting all of their deeds with a digital camera. Action Crime Drama Thriller police revenge independent film video camera on the run Edward Furlong Rachael Bella William Sadler Randall Rubin Jon Schroder
2977,Becoming Jane,Drama Romance,2007,18.236284,,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman. Drama Romance england judge irland new love empowerment country life future letter law lovers creativity sister author family Anne Hathaway James McAvoy Julie Walters James Cromwell Maggie Smith Julian Jarrold
19366,Josie and the Pussycats,Comedy Music,2001,6.404571,,"Josie, Melody and Val are three small-town girl musicians determined to take their rock band out of their garage and straight to the top, while remaining true to their look, style and sound. They get a record deal which brings fame and fortune but soon realize they are pawns of two people who want to control the youth of America. They must clear their names, even if it means losing fame and fortune. Comedy Music manager pop secret small town garage musician music friendship industry fame conspiracy subliminal  rock band culture woman director messages fortune record deal popular pawns Rachael Leigh Cook Rosario Dawson Tara Reid Gabriel Mann Alan Cumming Deborah Kaplan Harry Elfont"
18713,The Jerky Boys,Comedy Crime,1995,1.735462,,"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't long before Johnny and Kamal (the ""Jerky Boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor. Comedy Crime new york telephone joke gangster John G. Brennan Kamal Ahmed Alan Arkin William Hickey Vincent Pastore James Melkonian"
9335,Transporter 2,Action Thriller Crime,2005,47.5612,,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers. Action Thriller Crime martial arts war on drugs kidnapping bodyguard baby-snatching Jason Statham Amber Valletta Kate Nauta Alessandro Gassman François Berléand Louis Leterrier"
53256,Drei,Romance Drama Comedy,2010,5.937602,,"Hanna and Simon are in a 20 year marriage with an unexiting relationship. By chance, they both meet and start separate affairs with Adam. Adam has no idea that his two lovers are married, until they are all found out when Hanna becomes pregnant, with the natural doubts stemming from their situation. Romance Drama Comedy sex bisexual science Sophie Rois Sebastian Schipper Devid Striesow Annedore Kleist Alexander Hörbe Tom Tykwer"
23082,The Invention of Lying,Comedy Romance Fantasy,2009,16.665841,,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead. Comedy Romance Fantasy  Ricky Gervais Jennifer Garner Jonah Hill Louis C.K. Jeffrey Tambor Ricky Gervais Matthew Robinson"
325140,Hum To Mohabbat Karega,,2000,0.001186,,"Raju, a waiter, is in love with the famous TV reporter Greeta Kapoor. After a man is murdered, Kapoor shows up at Raju's door to ask him some questions - it turns out that Raju served the dead man his last supper, and the authorities hope that he might be able to help them. Raju lies and says that he was an eye witness, in order to spend more time with Kapoor. He gives the police a false description of the killer, but it matches his best friend Kutti, so soon Kutti is wanted by the police, and the Mafia, who is responsible for the killing, is after Raju.    "
8847,Standard Operating Procedure,Documentary,2008,0.888986,,Errol Morris examines the incidents of abuse and torture of suspected terrorists at the hands of U.S. forces at the Abu Ghraib prison. Documentary prison prisoner jail guard prison cell bagdad iraq photography detention camp torture soldier humiliation Javal Davis Ken Davis Tony Diaz Tim Dugan Lynndie England Errol Morris
12245,The Oxford Murders,Crime Mystery Thriller,2008,9.318033,,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols Crime Mystery Thriller mathematician mathematics oxford symbol triangle mass child killing Elijah Wood John Hurt Leonor Watling Julie Cox Jim Carter Álex de la Iglesia"
10781,The Texas Chainsaw Massacre: The Beginning,Horror,2006,21.380635,,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror. Horror mass murder planned murder chain saw sadism knife psychopath prequel murder gore serial killer blood leatherface slaughterhouse slasher chainsaw torture cruelty series of murders violence cannibal severed foot severed hand Jordana Brewster Taylor Handley Diora Baird Matt Bomer R. Lee Ermey Jonathan Liebesman"
227735,Dolphin Tale 2,Family Drama,2014,6.967857,,The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital. Family Drama dolphin aquarium swimming Morgan Freeman Ashley Judd Nathan Gamble Cozi Zuehlsdorff Harry Connick Jr. Charles Martin Smith
12586,Bella,Drama Romance,2006,1.814802,,"An international soccer star is on his way to sign a multimillion dollar contract when something happens that brings his career to an abrupt end. A beautiful waitress, struggling to make it in New York City, discovers something about herself that she's unprepared for. In one irreversible moment, their lives are turned upside down. Drama Romance waitress beach independent film soccer girl chance meeting flashback Tammy Blanchard Angélica Aragón Ali Landry Jaime Tirelli Manny Pérez Alejandro Monteverde"
10914,All Hat,Action Comedy Drama Western,2007,0.137535,,"An ex-con returns to his rural Ontario roots and outwits a corrupt and wealthy thoroughbred owner trying to take over a slew of local farms. Ray Dokes, a charming ex-ballplayer, returns from jail to discover the rural landscape of his childhood transformed by urban development. Determined to stay out of trouble, Ray heads to the farm of his old friend Pete Culpepper, a crusty Texas cowboy who trains losing racehorses and whose debts are growing faster than his corn. Action Comedy Drama Western indian territory horse ranch stetson urbanisierung best friend Rachael Leigh Cook Luke Kirby Keith Carradine Lisa Ray Graham Greene Leonard Farlinger"
37821,Killers,Action Comedy Thriller Romance,2010,23.004607,,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life. Action Comedy Thriller Romance assassin Katherine Heigl Ashton Kutcher Tom Selleck Catherine O'Hara Alex Borstein Robert Luketic"
4958,The Legend of Bagger Vance,Fantasy Drama,2000,16.848899,,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance. Fantasy Drama competition world war i great depression caddy savannah Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch Robert Redford"
44945,Trust,Crime Drama Thriller,2010,21.230737,,"A suburban family is torn apart when fourteen-year-old Annie meets her first boyfriend online. After months of communicating via online chat and phone, Annie discovers her friend is not who he originally claimed to be. Shocked into disbelief, her parents are shattered by their daughter's actions and struggle to support her as she comes to terms with what has happened to her once innocent life. Crime Drama Thriller rape obsession lie job independent film teenage girl school internet best friend counselor internet chat duringcreditsstinger online chat catfishing online hookup online predator Clive Owen Catherine Keener Liana Liberato Jason Clarke Viola Davis David Schwimmer"
14538,三国之见龙卸甲,Action History Drama,2008,4.127155,,"The aging Zhao embarks on his final and greatest campaign, a road to adventure that will crown his name in glory for all time. Action History Drama warrior woman number in title Sammo Hung Vanness Wu Maggie Q Andy Lau Ti Lung Daniel Lee"
20862,Smoke Signals,Drama Comedy,1998,2.304552,,"Young Indian man Thomas is a nerd in his reservation, wearing oversize glasses and telling everyone stories no-one wants to hear. His parents died in a fire in 1976, and Thomas was saved by Arnold. Arnold soon left his family, and Victor hasn't seen his father for 10 years. When Victor hears Arnold has died, Thomas offers him funding for the trip to get Arnold's remains Drama Comedy  Adam Beach Evan Adams Irene Bedard Gary Farmer Tantoo Cardinal Chris Eyre"
11812,The Sweetest Thing,Romance Comedy,2002,18.65632,,"Christina's love life is stuck in neutral. After years of avoiding the hazards of a meaningful relationship, one night while club-hopping with her girlfriends, she meets Peter, her perfect match. Fed up with playing games, she finally gets the courage to let her guard down and follow her heart, only to discover that Peter has suddenly left town. Accompanied by Courtney, she sets out to capture the one that got away. Romance Comedy roommate marriage aftercreditsstinger duringcreditsstinger Cameron Diaz Christina Applegate Thomas Jane Selma Blair Jason Bateman Roger Kumble"
2067,Mission to Mars,Science Fiction,2000,16.058284,,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate. Science Fiction mars spacecraft space travel alien long take outer space astronaut dismemberment alien contact trapped in space Gary Sinise Tim Robbins Don Cheadle Connie Nielsen Jerry O'Connell Brian De Palma"
16110,Thomas and the Magic Railroad,Animation Drama Family Science Fiction,2000,1.916351,,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lily and her morose grandfather, plus the secret engine. Animation Drama Family Science Fiction  Alec Baldwin Peter Fonda Mara Wilson Britt Allcroft"
16558,Duplicity,Romance Comedy Crime,2009,13.630049,,Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together. Romance Comedy Crime spy Clive Owen Julia Roberts Paul Giamatti Tom Wilkinson Lisa Roberts Gillan Tony Gilroy
848,Dragonslayer,Fantasy,1981,3.258422,,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time. Fantasy secret identity self sacrifice magic virgin solar eclipse sacrifice sorcerer's apprentice amulet lottery brood egg princess sorcerer human sacrifice dragon hidden identity crossdressing landslide sword and sorcery Peter MacNicol Caitlin Clarke Ralph Richardson John Hallam Peter Eyre Matthew Robbins
43923,It's Kind of a Funny Story,Comedy Drama,2010,13.143045,,A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward. Comedy Drama suicide depression independent film coming of age teen movie teenager psychiatric ward woman director based on young adult novel Keir Gilchrist Emma Roberts Zach Galifianakis Viola Davis Zoë Kravitz Ryan Fleck Anna Boden
155,The Dark Knight,Drama Action Crime Thriller,2008,187.322927,,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker. Drama Action Crime Thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal Christopher Nolan"
11004,Wonder Boys,Comedy Drama,2000,9.011729,,"Grady (Michael Douglas) is a 50-ish English professor who hasn't had a thing published in years -- not since he wrote his award winning ""Great American Novel"" 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author. Comedy Drama adultery robbery based on novel professor college police party liar marijuana writer university drug dog Michael Douglas Tobey Maguire Frances McDormand Katie Holmes Rip Torn Curtis Hanson"
22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,2003,271.972889,,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple. Adventure Fantasy Action exotic island blacksmith east india trading company gold marriage proposal mutiny jamaica skeleton daughter governor wooden eye gold coin pirate alcoholic swashbuckler caribbean aftercreditsstinger pirate ship capuchin monkey tortuga Johnny Depp Geoffrey Rush Orlando Bloom Keira Knightley Jack Davenport Gore Verbinski"
1997,Deux frères,Adventure Drama Family,2004,8.884318,,"Two tigers are separated as cubs and taken into captivity, only to be reunited years later as enemies by an explorer (Pearce) who inadvertently forces them to fight each other. Adventure Drama Family brother brother relationship loss of brother cambodia chase tiger governor royalty travelling circus archaeologist Maï Anh Le Guy Pearce Oanh Nguyen Jaran 'See Tao' Petcharoen Stéphanie Lagarde Jean-Jacques Annaud"
1429,25th Hour,Crime Drama,2002,30.196039,,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint. Crime Drama prison prisoner dream drug dealer nightclub american dream male friendship melancholy girlfriend friendship aftercreditsstinger Edward Norton Philip Seymour Hoffman Barry Pepper Rosario Dawson Anna Paquin Spike Lee"
17287,Poultrygeist: Night of the Chicken Dead,Horror Comedy,2006,3.905877,,"Humans... the other white meat... Unless you're black, then it's dark meat... Or if you are Asian, then it's yellow meat... Or if you are Native American, it's red meat... Horror Comedy musical zombie Jason Yachanin Kate Graham Allyson Sereboff Robin L. Watkins Joshua Olatunde Lloyd Kaufman"
1880,Red Dawn,Action Thriller,1984,11.743085,,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them. Action Thriller guerrilla colorado invasion anti-communism near future red army Patrick Swayze C. Thomas Howell Lea Thompson Darren Dalton Charlie Sheen John Milius"
